study_id,effect_id,author,year,yi,sei,n_ai,n_control,role,role_multi,domain,generation,subject,duration,pedagogy,design,reverse,flag,outcome_zh,country,sample,edu_level,age_group,mean_age_sd,pct_female,n_total,chatbot,control
12,1,Quan,2026,0.1196,0.1797657992518185,62,62,CP,single,cognitive,Post-GAI,Arts and Humanities,≤1 month,CL,Quasi,否,keep,翻译质量,China,372 English-major students,Undergraduate & graduate,Adults,—,87.4%,372,ChatGPT (GPT-4o),Without LLM
12,2,Quan,2026,0.713,0.106939140817147,186,186,CP,single,affective,Post-GAI,Arts and Humanities,≤1 month,CL,Quasi,否,keep,感知协作效率,China,372 English-major students,Undergraduate & graduate,Adults,—,87.4%,372,ChatGPT (GPT-4o),Without LLM
12,3,Quan,2026,0.7782,0.1075484089553034,186,186,CP,single,affective,Post-GAI,Arts and Humanities,≤1 month,CL,Quasi,否,keep,任务满意度,China,372 English-major students,Undergraduate & graduate,Adults,—,87.4%,372,ChatGPT (GPT-4o),Without LLM
12,4,Quan,2026,0.0466,0.1037092422857471,186,186,CP,single,load,Post-GAI,Arts and Humanities,≤1 month,CL,Quasi,是,keep,认知负荷,China,372 English-major students,Undergraduate & graduate,Adults,—,87.4%,372,ChatGPT (GPT-4o),Without LLM
13,1,Tegos et al.,2015,1.0378,0.4653521620435589,10,11,CP_FP,multiple,cognitive,Pre-GAI,ICT,≤1 month,CL,Quasi,否,keep,学习增益,Greece,43 students,Undergraduate,Adults,22.33 (SD 1.76),44.2%,43 (24M/19F),MentorChat,Without agent
13,2,Tegos et al.,2015,1.1389,0.4709490418293682,10,11,CP_FP,multiple,higher_order,Pre-GAI,ICT,≤1 month,CL,Quasi,否,keep,显性推理(论据数),Greece,43 students,Undergraduate,Adults,22.33 (SD 1.76),44.2%,43 (24M/19F),MentorChat,Without agent
14,1,Tegos et al.,2016,0.9349,0.2633029091239309,32,32,CP_FP,multiple,cognitive,Pre-GAI,ICT,≤1 month,CL,Quasi (3 conditions),否,keep,学习(后测),Greece,96 computer science students (dyads),Undergraduate,Adults,20.58 (SD 1.41),15.6%,96 (48 dyads: 16/16/16),MentorChat,Without agent (control)
14,2,Tegos et al.,2016,0.4238,0.2527907737883248,32,32,CP_FP,multiple,cognitive,Pre-GAI,ICT,≤1 month,CL,Quasi (3 conditions),否,keep,学习(后测),Greece,96 computer science students (dyads),Undergraduate,Adults,20.58 (SD 1.41),15.6%,96 (48 dyads: 16/16/16),MentorChat,Without agent (control)
14,3,Tegos et al.,2016,0.5557761709749046,0.2201903432286806,64,32,CP_FP,multiple,cognitive,Pre-GAI,ICT,≤1 month,CL,Quasi (3 conditions),否,keep,领域知识(自评),Greece,96 computer science students (dyads),Undergraduate,Adults,20.58 (SD 1.41),15.6%,96 (48 dyads: 16/16/16),MentorChat,Without agent (control)
16,1,Wang et al.,2025,0.9702,0.3158234796301792,24,21,CP,single,cognitive,Post-GAI,ICT,>1-3 months,CL,Quasi (ANCOVA),否,keep,学业成就,China,45 undergraduates (3 per team),Undergraduate,Adults,—,—,45 (24/21),AI-Agent,Traditional CSCL
16,2,Wang et al.,2025,0.9855,0.3163493943185512,24,21,CP,single,affective,Post-GAI,ICT,>1-3 months,CL,Quasi (ANCOVA),否,keep,自我效能,China,45 undergraduates (3 per team),Undergraduate,Adults,—,—,45 (24/21),AI-Agent,Traditional CSCL
16,3,Wang et al.,2025,0.6189,0.3058458488940371,24,21,CP,single,load,Post-GAI,ICT,>1-3 months,CL,Quasi (ANCOVA),是,keep,认知负荷(总),China,45 undergraduates (3 per team),Undergraduate,Adults,—,—,45 (24/21),AI-Agent,Traditional CSCL
16,4,Wang et al.,2025,0.9333,0.3145854975769134,24,21,CP,single,load,Post-GAI,ICT,>1-3 months,CL,Quasi (ANCOVA),是,keep,心理努力,China,45 undergraduates (3 per team),Undergraduate,Adults,—,—,45 (24/21),AI-Agent,Traditional CSCL
16,5,Wang et al.,2025,0.3865,0.3015708871890654,24,21,CP,single,load,Post-GAI,ICT,>1-3 months,CL,Quasi (ANCOVA),是,keep,心理负荷,China,45 undergraduates (3 per team),Undergraduate,Adults,—,—,45 (24/21),AI-Agent,Traditional CSCL
18,1,Wiboolyasarin et al.,2024,1.2945,0.3530722305704599,18,21,FP,single,cognitive,Post-GAI,Arts and Humanities,>1-3 months,CL,Quasi,否,keep,泰语写作(组间后测),Thailand,39 exchange students,Undergraduate (junior),Adults,18–20 (range),82.1%,39 (18/21),ChatGPT,Conventional collaborative writing
19,1,Xia et al.,2026,-0.2,0.1511709444684778,90,86,CP,single,higher_order,Post-GAI,Education,≤1 month,CL,RCT (2×2),否,keep,设计思维,China,176 university students (3-4 per group),Undergraduate,Adults,19–22 (range),56.3%,176 (77M/99F),Doubao,Without GenAI
19,2,Xia et al.,2026,0.042,0.1508112378156601,90,86,CP,single,affective,Post-GAI,Education,≤1 month,CL,RCT (2×2),否,keep,心流(交互),China,176 university students (3-4 per group),Undergraduate,Adults,19–22 (range),56.3%,176 (77M/99F),Doubao,Without GenAI
19,3,Xia et al.,2026,-0.35,0.1519441655723957,90,86,CP,single,higher_order,Post-GAI,Education,≤1 month,CL,RCT (2×2),否,keep,创造力(团队),China,176 university students (3-4 per group),Undergraduate,Adults,19–22 (range),56.3%,176 (77M/99F),Doubao,Without GenAI
